;Stockholm;Goteborg;Malmo;Uppsala;Sollentuna;Vasteras;Orebro;Linkoping;Helsingborg;Jonkoping
Stockholm;;473;613;71;20;109;197;202;556;324
Goteborg;473;;272;453;466;376;282;274;215;144
Malmo;613;272;;673;628;597;494;407;64;280
Uppsala;71;453;673;;52;79;171;249;616;377
Sollentuna;20;466;628;52;;93;185;216;570;339
Vasteras;109;376;597;79;93;;94;189;540;308
Orebro;197;282;494;171;185;94;;119;442;200
Linkoping;202;274;407;249;216;189;119;;336;129
Helsingborg;556;215;64;616;570;540;442;336;;235
Jonkoping;324;144;280;377;339;308;200;129;235;
